feature1,feature2,feature3
0.390805,0.469136,0.400000
0.459770,0.407407,0.411765
0.425287,0.469136,0.411765
0.413793,0.469136,0.447059
0.448276,0.456790,0.423529
0.436782,0.469136,0.423529
0.333333,0.481481,0.364706
0.356322,0.456790,0.400000
0.321839,0.444444,0.364706
0.367816,0.382716,0.329412
0.367816,0.333333,0.317647
0.367816,0.333333,0.317647
0.402299,0.382716,0.376471
0.494253,0.469136,0.447059
0.448276,0.518519,0.447059
0.333333,0.481481,0.376471
0.344828,0.395062,0.352941
0.425287,0.419753,0.400000
0.448276,0.530864,0.470588
0.528736,0.530864,0.505882
0.551724,0.493827,0.505882
0.367816,0.419753,0.376471
0.379310,0.370370,0.364706
0.436782,0.493827,0.458824
0.448276,0.543210,0.470588
0.413793,0.469136,0.411765
0.494253,0.506173,0.470588
0.425287,0.506173,0.447059
0.402299,0.432099,0.388235
0.402299,0.370370,0.364706
0.413793,0.370370,0.364706
0.402299,0.444444,0.423529
0.390805,0.407407,0.411765
0.425287,0.358025,0.376471
0.287356,0.395062,0.317647
0.195402,0.283951,0.223529
0.275862,0.296296,0.282353
0.413793,0.481481,0.447059
0.494253,0.481481,0.470588
0.528736,0.493827,0.494118
0.551724,0.518519,0.494118
0.551724,0.543210,0.505882
0.563218,0.567901,0.529412
0.528736,0.506173,0.494118
0.402299,0.469136,0.411765
0.356322,0.419753,0.364706
0.413793,0.407407,0.376471
0.356322,0.395062,0.376471
0.425287,0.493827,0.435294
0.448276,0.518519,0.470588
0.448276,0.518519,0.458824
0.379310,0.456790,0.400000
0.379310,0.432099,0.376471
0.425287,0.370370,0.352941
0.379310,0.345679,0.341176
0.310345,0.395062,0.341176
0.356322,0.358025,0.364706
0.402299,0.469136,0.411765
0.494253,0.493827,0.482353
0.563218,0.580247,0.541176
0.597701,0.567901,0.564706
0.678161,0.617284,0.623529
0.597701,0.629630,0.600000
0.482759,0.530864,0.494118
0.425287,0.493827,0.435294
0.540230,0.444444,0.482353
0.563218,0.555556,0.552941
0.494253,0.592593,0.517647
0.528736,0.493827,0.494118
0.632184,0.555556,0.576471
0.528736,0.641975,0.552941
0.586207,0.604938,0.564706
0.609195,0.629630,0.600000
0.505747,0.604938,0.541176
0.448276,0.604938,0.517647
0.517241,0.580247,0.517647
0.517241,0.555556,0.529412
0.482759,0.567901,0.517647
0.540230,0.543210,0.529412
0.482759,0.580247,0.517647
0.597701,0.543210,0.564706
0.620690,0.679012,0.635294
0.459770,0.543210,0.505882
0.551724,0.543210,0.541176
0.597701,0.530864,0.529412
0.436782,0.506173,0.447059
0.540230,0.518519,0.529412
0.620690,0.629630,0.600000
0.459770,0.555556,0.482353
0.574713,0.567901,0.564706
0.586207,0.641975,0.600000
0.655172,0.691358,0.658824
0.643678,0.728395,0.658824
0.597701,0.716049,0.623529
0.528736,0.641975,0.564706
0.540230,0.617284,0.552941
0.517241,0.617284,0.529412
0.597701,0.592593,0.576471
0.551724,0.654321,0.588235
0.551724,0.617284,0.564706
0.551724,0.617284,0.564706
0.586207,0.654321,0.588235
0.597701,0.617284,0.588235
0.471264,0.580247,0.494118
0.528736,0.555556,0.505882
0.609195,0.555556,0.576471
0.643678,0.666667,0.635294
0.597701,0.728395,0.623529
0.643678,0.691358,0.647059
0.712644,0.679012,0.682353
0.747126,0.740741,0.729412
0.804598,0.802469,0.788235
0.735632,0.679012,0.729412
0.551724,0.617284,0.564706
0.597701,0.654321,0.611765
0.655172,0.666667,0.623529
0.655172,0.666667,0.647059
0.620690,0.641975,0.611765
0.597701,0.666667,0.623529
0.574713,0.604938,0.564706
0.528736,0.567901,0.529412
0.517241,0.604938,0.529412
0.517241,0.604938,0.552941
0.632184,0.666667,0.635294
0.678161,0.740741,0.682353
0.655172,0.703704,0.647059
0.528736,0.617284,0.552941
0.540230,0.567901,0.541176
0.494253,0.617284,0.529412
0.540230,0.604938,0.552941
0.666667,0.691358,0.658824
0.724138,0.703704,0.717647
0.770115,0.765432,0.764706
0.643678,0.753086,0.682353
0.689655,0.716049,0.682353
0.793103,0.802469,0.788235
0.839080,0.827160,0.823529
0.735632,0.802469,0.764706
0.793103,0.802469,0.776471
0.793103,0.802469,0.788235
