feature1,feature2,feature3
0.459770,0.481481,0.482353
0.459770,0.456790,0.447059
0.505747,0.530864,0.494118
0.413793,0.493827,0.435294
0.436782,0.493827,0.447059
0.482759,0.530864,0.482353
0.459770,0.456790,0.447059
0.287356,0.370370,0.329412
0.321839,0.308642,0.305882
0.298851,0.308642,0.305882
0.413793,0.493827,0.423529
0.402299,0.530864,0.447059
0.551724,0.506173,0.505882
0.586207,0.592593,0.564706
0.482759,0.481481,0.494118
0.505747,0.518519,0.505882
0.574713,0.666667,0.588235
0.586207,0.617284,0.588235
0.482759,0.555556,0.505882
0.563218,0.543210,0.517647
0.574713,0.543210,0.529412
0.413793,0.518519,0.447059
0.436782,0.518519,0.447059
0.471264,0.506173,0.435294
0.482759,0.506173,0.494118
0.551724,0.592593,0.541176
0.425287,0.506173,0.447059
0.333333,0.395062,0.364706
0.241379,0.308642,0.282353
0.091954,0.209877,0.129412
0.218391,0.197531,0.188235
0.264368,0.296296,0.247059
0.321839,0.283951,0.294118
0.367816,0.358025,0.341176
0.379310,0.456790,0.411765
0.436782,0.567901,0.494118
0.436782,0.604938,0.494118
0.436782,0.567901,0.482353
0.402299,0.456790,0.423529
0.402299,0.419753,0.411765
0.425287,0.456790,0.423529
0.459770,0.518519,0.447059
0.459770,0.530864,0.494118
0.344828,0.419753,0.376471
0.287356,0.296296,0.270588
0.402299,0.308642,0.364706
0.471264,0.506173,0.482353
0.505747,0.543210,0.505882
0.459770,0.518519,0.470588
0.448276,0.543210,0.435294
0.379310,0.506173,0.435294
0.425287,0.481481,0.423529
0.425287,0.518519,0.458824
0.448276,0.518519,0.458824
0.402299,0.456790,0.411765
0.344828,0.419753,0.376471
0.425287,0.506173,0.447059
0.563218,0.604938,0.564706
0.540230,0.580247,0.529412
0.482759,0.518519,0.470588
0.505747,0.543210,0.505882
0.551724,0.604938,0.552941
0.632184,0.654321,0.600000
0.528736,0.629630,0.564706
0.563218,0.580247,0.552941
0.425287,0.493827,0.435294
0.436782,0.493827,0.423529
0.482759,0.456790,0.458824
0.413793,0.506173,0.435294
0.471264,0.543210,0.470588
0.333333,0.444444,0.376471
0.379310,0.432099,0.364706
0.471264,0.407407,0.447059
0.574713,0.543210,0.564706
0.482759,0.469136,0.458824
0.344828,0.444444,0.364706
0.367816,0.407407,0.352941
0.275862,0.407407,0.329412
0.310345,0.370370,0.329412
0.287356,0.370370,0.305882
0.298851,0.345679,0.317647
0.390805,0.320988,0.341176
0.344828,0.407407,0.352941
0.413793,0.382716,0.400000
0.402299,0.481481,0.435294
0.436782,0.444444,0.400000
0.413793,0.432099,0.411765
0.448276,0.518519,0.458824
0.494253,0.506173,0.482353
0.540230,0.555556,0.517647
0.540230,0.580247,0.552941
0.494253,0.580247,0.517647
0.413793,0.506173,0.435294
0.436782,0.506173,0.447059
0.459770,0.506173,0.458824
0.494253,0.518519,0.494118
0.448276,0.567901,0.470588
0.563218,0.567901,0.552941
0.425287,0.592593,0.494118
0.551724,0.580247,0.564706
0.586207,0.691358,0.623529
0.482759,0.592593,0.529412
0.436782,0.530864,0.482353
0.425287,0.506173,0.447059
0.413793,0.469136,0.400000
0.448276,0.444444,0.435294
0.482759,0.481481,0.470588
0.505747,0.506173,0.494118
0.425287,0.493827,0.447059
0.448276,0.469136,0.447059
0.505747,0.555556,0.505882
0.528736,0.654321,0.564706
0.494253,0.567901,0.529412
0.540230,0.567901,0.541176
0.459770,0.506173,0.494118
0.448276,0.506173,0.458824
0.505747,0.555556,0.505882
0.471264,0.567901,0.505882
0.574713,0.580247,0.576471
0.574713,0.617284,0.576471
0.551724,0.617284,0.564706
0.597701,0.654321,0.600000
0.620690,0.666667,0.623529
0.517241,0.604938,0.552941
0.505747,0.592593,0.529412
0.471264,0.592593,0.517647
0.471264,0.580247,0.529412
0.609195,0.703704,0.623529
0.609195,0.703704,0.635294
0.632184,0.716049,0.658824
0.563218,0.691358,0.600000
0.528736,0.679012,0.588235
0.574713,0.679012,0.588235
0.586207,0.629630,0.588235
0.632184,0.654321,0.635294
0.643678,0.703704,0.658824
0.563218,0.753086,0.635294
0.620690,0.728395,0.635294
0.609195,0.703704,0.623529
0.528736,0.604938,0.552941
0.482759,0.567901,0.505882
0.540230,0.555556,0.541176
0.609195,0.641975,0.611765
0.586207,0.691358,0.623529
0.586207,0.679012,0.611765
0.563218,0.666667,0.588235
0.597701,0.654321,0.600000
0.678161,0.679012,0.658824
0.712644,0.728395,0.717647
0.666667,0.728395,0.694118
0.643678,0.679012,0.635294
0.678161,0.703704,0.670588
0.712644,0.703704,0.717647
0.781609,0.790123,0.776471
0.839080,0.851852,0.847059
0.678161,0.716049,0.705882
0.666667,0.716049,0.670588
0.735632,0.728395,0.717647
0.758621,0.790123,0.752941
0.770115,0.790123,0.764706
0.632184,0.728395,0.658824
0.655172,0.703704,0.647059
0.678161,0.679012,0.670588
0.678161,0.753086,0.682353
0.655172,0.728395,0.682353
0.689655,0.728395,0.694118
0.689655,0.740741,0.705882
0.701149,0.703704,0.717647
0.816092,0.851852,0.823529
0.839080,0.851852,0.835294
0.758621,0.802469,0.776471
0.816092,0.802469,0.788235
0.781609,0.827160,0.788235
0.758621,0.814815,0.764706
0.689655,0.691358,0.682353
0.712644,0.679012,0.694118
0.816092,0.802469,0.800000
0.827586,0.839506,0.823529
0.816092,0.839506,0.823529
0.781609,0.814815,0.788235
0.758621,0.827160,0.788235
0.850575,0.851852,0.847059
0.873563,0.888889,0.870588
0.908046,0.938272,0.905882
0.931034,0.950617,0.917647
0.954023,0.975309,0.952941
0.942529,0.975309,0.952941
0.919540,0.938272,0.917647
0.942529,0.913580,0.929412
0.850575,0.888889,0.870588
0.770115,0.765432,0.776471
0.793103,0.802469,0.788235
0.632184,0.728395,0.658824
0.678161,0.716049,0.682353
0.781609,0.753086,0.752941
0.839080,0.839506,0.823529
0.908046,0.864198,0.882353
0.804598,0.925926,0.847059
0.850575,0.888889,0.847059
0.839080,0.876543,0.835294
0.850575,0.827160,0.823529
0.735632,0.765432,0.729412
0.804598,0.802469,0.788235
0.839080,0.851852,0.823529
0.862069,0.851852,0.847059
0.896552,0.913580,0.894118
0.724138,0.753086,0.694118
0.643678,0.740741,0.670588
0.655172,0.740741,0.658824
0.597701,0.641975,0.600000
0.574713,0.617284,0.576471
0.655172,0.679012,0.635294
0.735632,0.716049,0.694118
0.620690,0.716049,0.635294
0.632184,0.728395,0.658824
0.632184,0.691358,0.635294
0.701149,0.703704,0.682353
0.724138,0.716049,0.694118
0.758621,0.777778,0.729412
0.804598,0.790123,0.764706
0.804598,0.839506,0.800000
0.712644,0.716049,0.705882
0.632184,0.691358,0.635294
0.678161,0.728395,0.694118
0.689655,0.765432,0.694118
0.770115,0.753086,0.729412
0.758621,0.802469,0.741176
0.758621,0.765432,0.729412
0.793103,0.790123,0.741176
0.770115,0.790123,0.729412
0.758621,0.790123,0.741176
0.770115,0.790123,0.729412
0.758621,0.777778,0.729412
0.712644,0.691358,0.694118
0.712644,0.679012,0.694118
0.724138,0.753086,0.717647
0.735632,0.777778,0.717647
0.781609,0.802469,0.741176
0.666667,0.790123,0.694118
0.747126,0.777778,0.717647
0.735632,0.765432,0.717647
0.747126,0.765432,0.717647
0.781609,0.790123,0.741176
0.643678,0.679012,0.670588
0.436782,0.580247,0.482353
0.459770,0.506173,0.458824
0.471264,0.518519,0.458824
0.425287,0.555556,0.458824
0.367816,0.543210,0.447059
0.425287,0.530864,0.435294
0.459770,0.580247,0.494118
0.471264,0.604938,0.505882
0.505747,0.543210,0.505882
0.448276,0.592593,0.505882
0.459770,0.567901,0.494118
0.367816,0.493827,0.423529
0.321839,0.395062,0.352941
0.310345,0.395062,0.352941
0.448276,0.493827,0.505882
0.367816,0.444444,0.364706
0.298851,0.407407,0.364706
0.333333,0.456790,0.376471
0.264368,0.432099,0.329412
0.436782,0.419753,0.388235
0.367816,0.395062,0.352941
0.333333,0.407407,0.352941
0.402299,0.407407,0.376471
0.425287,0.481481,0.435294
0.379310,0.456790,0.435294
0.494253,0.518519,0.470588
0.540230,0.543210,0.505882
0.321839,0.333333,0.305882
0.356322,0.395062,0.352941
0.402299,0.432099,0.388235
0.505747,0.419753,0.435294
0.494253,0.580247,0.505882
0.390805,0.518519,0.435294
0.448276,0.518519,0.458824
0.482759,0.567901,0.505882
0.482759,0.444444,0.482353
0.413793,0.444444,0.411765
0.344828,0.419753,0.352941
0.287356,0.259259,0.294118
0.183908,0.246914,0.223529
0.321839,0.382716,0.341176
0.275862,0.296296,0.282353
0.218391,0.259259,0.258824
0.321839,0.358025,0.317647
0.275862,0.407407,0.329412
0.321839,0.419753,0.352941
0.356322,0.432099,0.376471
0.390805,0.370370,0.341176
0.252874,0.432099,0.329412
0.298851,0.382716,0.329412
0.333333,0.481481,0.400000
0.333333,0.493827,0.411765
0.390805,0.395062,0.376471
0.425287,0.419753,0.388235
0.402299,0.481481,0.411765
0.402299,0.419753,0.376471
0.471264,0.432099,0.423529
0.379310,0.456790,0.411765
0.264368,0.395062,0.317647
0.183908,0.358025,0.258824
0.287356,0.382716,0.317647
0.160920,0.074074,0.129412
0.057471,0.000000,0.000000
0.344828,0.160494,0.270588
0.425287,0.493827,0.447059
0.413793,0.604938,0.505882
0.425287,0.592593,0.494118
0.367816,0.518519,0.447059
0.298851,0.493827,0.376471
0.310345,0.444444,0.376471
0.402299,0.506173,0.423529
0.356322,0.456790,0.400000
0.425287,0.419753,0.388235
0.344828,0.296296,0.317647
0.321839,0.333333,0.329412
0.310345,0.444444,0.352941
0.367816,0.469136,0.423529
0.413793,0.481481,0.411765
0.333333,0.543210,0.423529
0.344828,0.481481,0.423529
0.344828,0.493827,0.400000
0.425287,0.493827,0.423529
0.367816,0.518519,0.411765
0.390805,0.555556,0.458824
0.413793,0.580247,0.482353
0.402299,0.567901,0.458824
0.344828,0.530864,0.423529
0.402299,0.456790,0.388235
0.379310,0.419753,0.376471
0.321839,0.444444,0.388235
0.356322,0.395062,0.352941
0.413793,0.419753,0.376471
0.333333,0.395062,0.352941
0.310345,0.382716,0.341176
0.482759,0.419753,0.423529
0.413793,0.506173,0.458824
0.540230,0.555556,0.529412
0.505747,0.567901,0.529412
0.402299,0.469136,0.435294
0.275862,0.333333,0.305882
0.149425,0.197531,0.176471
0.321839,0.259259,0.270588
0.379310,0.469136,0.400000
0.436782,0.456790,0.435294
0.425287,0.518519,0.458824
0.379310,0.493827,0.423529
0.379310,0.543210,0.423529
0.402299,0.530864,0.435294
0.367816,0.518519,0.423529
0.367816,0.469136,0.411765
0.402299,0.444444,0.376471
0.402299,0.469136,0.400000
0.413793,0.456790,0.423529
0.448276,0.419753,0.411765
0.517241,0.543210,0.505882
0.379310,0.432099,0.376471
0.333333,0.345679,0.329412
0.448276,0.382716,0.376471
0.390805,0.469136,0.400000
0.344828,0.481481,0.400000
0.379310,0.469136,0.400000
0.425287,0.481481,0.435294
0.436782,0.530864,0.458824
0.298851,0.407407,0.341176
0.183908,0.185185,0.176471
0.000000,0.135802,0.058824
0.264368,0.172840,0.200000
0.390805,0.345679,0.341176
